id_estudiante,id_carrera,inscripcion,graduacion
102,1,2017,2022
152,2,2019,2025
202,52,2020,2025
252,102,2021,0
302,152,2018,2024
352,202,2018,2025
402,252,2021,2022
452,302,2015,0
502,352,2022,2026
552,402,2022,2024
602,452,2017,2026
652,502,2016,2023
702,552,2020,0
752,602,2015,2024
802,652,2022,2025
852,1,2022,0
902,2,2022,0
952,52,2016,0
1002,102,2020,0
1052,152,2014,2022
1102,202,2020,2024
1152,252,2017,0
1202,302,2020,2026
1252,352,2022,2026
1302,402,2020,2023
1352,452,2016,2024
1402,502,2017,2022
1452,552,2018,2026
1502,602,2015,2025
1552,652,2015,2024
1602,1,2021,2023
1652,2,2022,0
1702,52,2021,2023
1752,102,2021,2022
1802,152,2017,2025
1852,202,2017,0
1902,252,2014,2023
1952,302,2018,2026
2002,352,2022,0
2052,402,2020,2022
2102,452,2020,2026
2152,502,2021,2024
2202,552,2021,2022
2252,602,2019,2024
2302,652,2020,2025
2352,1,2016,2026
2402,2,2019,2024
2452,52,2020,2023
2502,102,2020,2026
2552,152,2019,2023
2602,202,2024,2023
2652,252,2025,2024
2702,302,2016,0
2752,352,2020,2025
2802,402,2023,2025
2852,452,2016,2023
2902,502,2022,2024
2952,552,2017,2023
3002,602,2017,2023
3052,652,2019,2023
3102,1,2020,0
3152,2,2022,2023
3202,52,2024,0
3252,102,2016,0
3302,152,2021,2023
3352,202,2022,2026
3402,252,2021,2023
3452,302,2020,2023
3502,352,2022,2023
3552,402,2020,0
3602,452,2023,2022
3652,502,2023,2023
3702,552,2016,2023
3752,602,2016,2024
3802,652,2017,0
3852,1,2021,2024
3902,2,2017,2026
3952,52,2024,2022
4002,102,2024,2024
4052,152,2017,0
4102,202,2015,2022
4152,252,2020,2025
4202,302,2024,2024
4252,352,2015,2024
4302,402,2018,0
4352,452,2017,2025
4402,502,2017,2024
4452,552,2021,2026
4502,602,2016,2026
4552,652,2022,2022
4602,1,202,2025
4652,2,2013,2023
4702,52,2016,2023
4752,102,2021,2022
4802,152,2013,2022
4852,202,2016,2023
4902,252,2017,2026
4952,302,2022,2023
5002,352,2021,2022
5052,402,2017,0
5102,452,2019,2020
5152,502,2019,2022
5202,552,2019,2022
5252,602,2018,2023
102,652,2019,2022
152,1,2019,2022
202,2,2019,2022
252,52,2019,2022
